name,model,color,brand,category,price_cop,available_sizes,in_stock,description,image
SANTORI - MARRON,SANTORI,MARRON,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo SANTORI en color MARRON disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
SANTORI - MOSTAZA,SANTORI,MOSTAZA,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo SANTORI en color MOSTAZA disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
SANTORI - GRIS,SANTORI,GRIS,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo SANTORI en color GRIS disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
MILAN - NEGRO,MILAN,NEGRO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '39', '40', '42', '43']",True,"Modelo MILAN en color NEGRO disponible en tallas 35, 36, 37, 39, 40, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
MILAN - BLANCO,MILAN,BLANCO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '40', '41', '42', '43']",True,"Modelo MILAN en color BLANCO disponible en tallas 35, 36, 37, 38, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
MILAN - MARRON,MILAN,MARRON,Mailton Kanazo,Sandalias,180000,"['36', '37', '38', '39', '40', '43']",True,"Modelo MILAN en color MARRON disponible en tallas 36, 37, 38, 39, 40, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
MILAN - BEIGE,MILAN,BEIGE,Mailton Kanazo,Sandalias,180000,"['36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo MILAN en color BEIGE disponible en tallas 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
MILAN - GRIS,MILAN,GRIS,Mailton Kanazo,Sandalias,180000,"['36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo MILAN en color GRIS disponible en tallas 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BORA - NEGRO,BORA,NEGRO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo BORA en color NEGRO disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BORA - BLANCO,BORA,BLANCO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo BORA en color BLANCO disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BORA - MARRON,BORA,MARRON,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42']",True,"Modelo BORA en color MARRON disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BORA - MOSTAZA,BORA,MOSTAZA,Mailton Kanazo,Sandalias,180000,"['35', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo BORA en color MOSTAZA disponible en tallas 35, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BORA - GRIS,BORA,GRIS,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41']",True,"Modelo BORA en color GRIS disponible en tallas 35, 36, 37, 38, 39, 40, 41",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
